第1關,主臥室地板中央顯眼處,4821
第2關,廚房攪拌機瓶子裡,7306
第3關,圖書館小茶几旁,9154
第4關,妮妮書房桌腳,2648
第5關,廚房電磁爐上炒菜鍋中,7085
第6關,爸爸辦公桌桌腳,8032
第7關,廚房洗碗機內,1467
第8關,主臥床舖床腳,6280
第9關,妮妮書房床鋪抽屜,3541
第10關,一樓ryobi工具電池區底下,9073
第11關,地下室冰箱處,2186
第12關,爸爸的工具區電動螺絲起子下,6405
第13關,彩色髒衣洗衣籃內,7921
第14關,地下室洗衣機處,4358
第15關,一樓掛外套處,8604
第16關,廁所鏡子櫃子內,1739
第17關,前院郵箱,5240
第18關,前院最大的大樹樹根,6813
第19關,後院鞦韆處,9051
第20關,前院種蔥薑蒜處,2476
第21關,後院白色儲藏室,3189
第22關,前院腳踏車棚,7602
第23關,後院營火處,1548
第24關,前院圓盤鞦韆處,8930
第25關,一樓進門鞋櫃左邊數來第3排往上第4個格子,4261
第26關,一樓閒置的火爐底下,5719
第27關,餐廳收納沙發內,2317
第28關,餐廳3D印表機旁,5640
第29關,冰箱冷藏庫牛奶區,8192
第30關,樓梯間的 elf 入口小門底下,3507
第31關,廚房冰箱冷凍庫,6724
第32關,主臥室閃著彩色LED的電腦主機內,1086